State,Filed week ended,Initial Claims
Kansas,07/03/1993,"1,841"
Kansas,07/10/1993,"2,786"
Kansas,07/17/1993,"2,911"
Kansas,07/24/1993,"2,588"
Kansas,07/31/1993,"2,427"
Kansas,08/07/1993,"3,399"
Kansas,08/14/1993,"1,986"
Kansas,08/21/1993,"1,794"
Kansas,08/28/1993,"1,750"
Kansas,09/04/1993,"2,114"
Kansas,09/11/1993,"1,514"
Kansas,09/18/1993,"1,749"
Kansas,09/25/1993,"1,690"
Kansas,10/02/1993,"1,694"
Kansas,10/09/1993,"2,253"
Kansas,10/16/1993,"1,934"
Kansas,10/23/1993,"2,221"
Kansas,10/30/1993,"2,008"
Kansas,11/06/1993,"2,085"
Kansas,11/13/1993,"1,881"
Kansas,11/20/1993,"2,623"
Kansas,11/27/1993,"2,115"
Kansas,12/04/1993,"2,805"
Kansas,12/11/1993,"2,425"
Kansas,12/18/1993,"3,653"
Kansas,12/25/1993,"3,264"
Kansas,01/01/1994,"3,269"
Kansas,01/08/1994,"4,549"
Kansas,01/15/1994,"3,768"
Kansas,01/22/1994,"3,336"
Kansas,01/29/1994,"3,195"
Kansas,02/05/1994,"2,934"
Kansas,02/12/1994,"2,807"
Kansas,02/19/1994,"2,335"
Kansas,02/26/1994,"2,773"
Kansas,03/05/1994,"2,753"
Kansas,03/12/1994,"1,943"
Kansas,03/19/1994,"2,018"
Kansas,03/26/1994,"1,813"
Kansas,04/02/1994,"2,068"
Kansas,04/09/1994,"2,445"
Kansas,04/16/1994,"2,584"
Kansas,04/23/1994,"2,119"
Kansas,04/30/1994,"2,192"
Kansas,05/07/1994,"2,457"
Kansas,05/14/1994,"1,797"
Kansas,05/21/1994,"1,798"
Kansas,05/28/1994,"1,961"
Kansas,06/04/1994,"1,919"
Kansas,06/11/1994,"2,096"
Kansas,06/18/1994,"1,812"
Kansas,06/25/1994,"3,592"
Kansas,07/02/1994,"2,043"
Kansas,07/09/1994,"2,784"
Kansas,07/16/1994,"2,624"
Kansas,07/23/1994,"2,033"
Kansas,07/30/1994,"1,923"
Kansas,08/06/1994,"2,414"
Kansas,08/13/1994,"1,826"
Kansas,08/20/1994,"1,648"
Kansas,08/27/1994,"1,735"
Kansas,09/03/1994,"1,827"
Kansas,09/10/1994,"1,544"
Kansas,09/17/1994,"1,562"
Kansas,09/24/1994,"1,652"
Kansas,10/01/1994,"1,450"
Kansas,10/08/1994,"2,177"
Kansas,10/15/1994,"1,737"
Kansas,10/22/1994,"1,894"
Kansas,10/29/1994,"1,688"
Kansas,11/05/1994,"2,035"
Kansas,11/12/1994,"1,813"
Kansas,11/19/1994,"2,182"
Kansas,11/26/1994,"1,906"
Kansas,12/03/1994,"2,731"
Kansas,12/10/1994,"3,561"
Kansas,12/17/1994,"2,872"
Kansas,12/24/1994,"2,429"
Kansas,12/31/1994,"3,550"
Kansas,01/07/1995,"5,037"
Kansas,01/14/1995,"4,587"
Kansas,01/21/1995,"2,217"
Kansas,01/28/1995,"2,516"
Kansas,02/04/1995,"2,223"
Kansas,02/11/1995,"2,611"
Kansas,02/18/1995,"2,538"
Kansas,02/25/1995,"1,877"
Kansas,03/04/1995,"3,090"
Kansas,03/11/1995,"2,832"
Kansas,03/18/1995,"1,940"
Kansas,03/25/1995,"1,728"
Kansas,04/01/1995,"1,556"
Kansas,04/08/1995,"2,153"
Kansas,04/15/1995,"2,212"
Kansas,04/22/1995,"2,159"
Kansas,04/29/1995,"1,856"
Kansas,05/06/1995,"2,643"
Kansas,05/13/1995,"2,164"
Kansas,05/20/1995,"2,676"
Kansas,05/27/1995,"2,680"
Kansas,06/03/1995,"2,014"
Kansas,06/10/1995,"2,408"
Kansas,06/17/1995,"1,980"
Kansas,06/24/1995,"1,692"
Kansas,07/01/1995,"1,727"
Kansas,07/08/1995,"3,435"
Kansas,07/15/1995,"2,418"
Kansas,07/22/1995,"4,875"
Kansas,07/29/1995,"2,241"
Kansas,08/05/1995,"2,775"
Kansas,08/12/1995,"1,905"
Kansas,08/19/1995,"1,769"
Kansas,08/26/1995,"1,631"
Kansas,09/02/1995,"1,677"
Kansas,09/09/1995,"1,437"
Kansas,09/16/1995,"1,498"
Kansas,09/23/1995,"1,742"
Kansas,09/30/1995,"1,439"
Kansas,10/07/1995,"2,056"
Kansas,10/14/1995,"1,470"
Kansas,10/21/1995,"1,632"
Kansas,10/28/1995,"3,665"
